CID,NDVI,LST
4,0.183441,54.8550987
4,0.252574,51.5499001
4,0.289635,45.9546013
4,0.332704,43.8730011
4,0.257278,44.5531998
4,0.210817,47.9199982
4,0.365951,43.3227005
4,0.310479,44.160099
4,0.342356,42.3793983
2,0.161039,54.6585999
2,0.206239,47.5251999
2,0.228581,47.5644989
2,0.192045,49.9365997
2,0.183408,45.4435997
2,0.23058,49.0992012
2,0.201086,49.2238998
2,0.212969,54.2536011
2,0.220376,51.703701
2,0.225813,50.4782982
2,0.210337,47.5798988
0,0.0622452,39.9389
0,0.058719,42.6972008
0,0.0146152,36.8300018
0,0.29669,40.5746002
0,0.172153,39.7680016
0,0.0185932,41.5385017
0,0.0602208,40.6567001
0,0.0307257,37.1428986
0,0.110876,41.1590996
0,-0.0200421,39.5082016
0,-0.0179512,38.3597984
0,0.172833,44.6062012
1,0.251234,43.2373009
1,0.223113,48.767601
2,0.284127,46.5391006
2,0.229273,42.9398994
2,0.203491,44.4062004
2,0.233521,47.3423004
2,0.213675,46.3578987
2,0.218074,44.8198013
2,0.2727,45.5718002
2,0.226584,43.9925995
2,0.227133,48.6599998
2,0.223567,44.6591988
2,0.180908,49.6222
2,0.157295,50.7415009
2,0.192818,45.3735008
2,0.211795,47.8036995
2,0.217225,50.5074005
2,0.185933,51.7994003
2,0.228123,44.6763
2,0.171822,49.3588982
2,0.228349,45.9854012
2,0.259697,48.0088005
2,0.232958,48.6959
2,0.178147,50.9706001
3,0.242201,43.3193016
3,0.230965,42.2084999
3,0.233137,45.2402
3,0.25828,43.9858017
3,0.275139,43.4183998
3,0.302279,42.6390991
3,0.251598,43.6576996
3,0.235346,44.3823013
3,0.226998,44.7821999
3,0.243512,45.4761009
3,0.217571,42.1469002
3,0.233131,44.1362
3,0.221732,43.9687004
3,0.217717,44.4165001
0,0.245606,44.7036018
0,0.0512289,43.8012009
0,0.0709117,42.4067001
0,0.0766342,42.1092987
0,-0.0453919,40.0892982
0,0.0732412,41.9658012
0,0.01815,40.1884003
1,0.18662,48.8804016
1,0.166953,49.1162987
1,0.214079,51.1226997
1,0.23575,47.6464996
1,0.192664,51.6489983
1,0.26227,45.1001015
1,0.236585,49.6016006
1,0.263944,48.5163994
1,0.210556,49.1197014
1,0.173617,52.9614983
1,0.221089,47.3969994
1,0.177303,49.6598015
1,0.183725,50.5553017
2,0.269485,46.4399986
2,0.249628,47.0894012
2,0.258821,47.3303986
2,0.258866,48.2958984
2,0.225816,47.7695999
2,0.211062,49.1744003
2,0.232794,46.7099991
2,0.254123,46.7168007
2,0.201484,48.5009995
2,0.179815,51.4883995
2,0.235096,47.1200981
2,0.19867,50.5484009
2,0.19267,46.5766983
2,0.191383,52.9973984
2,0.302379,47.1713982
